"timeframe",""
"2014-07-31 - 2017-06-15","ITA_B_3 - FRA_B_3"
"2014-07-31 - 2017-06-15","FRA_B_3 - ITA_B_3"
"2014-07-31 - 2017-06-15","AUS_B_3 - MEX_B_3"
"2014-07-31 - 2017-06-15","USA_B_3 - MEX_B_3"
"2014-07-31 - 2017-06-15","USA_B_3 - NOR_B_3"
"2014-08-07 - 2017-06-22","FRA_B_1 - AUS_B_1"
"2014-08-07 - 2017-06-22","USA_B_1 - AUS_B_1"
"2014-08-07 - 2017-06-22","ITA_B_1 - CHE_B_1"
"2014-08-07 - 2017-06-22","USA_B_1 - CHE_B_1"
"2014-08-07 - 2017-06-22","AUS_B_1 - DEU_B_1"
"2014-08-07 - 2017-06-22","USA_B_1 - FRA_B_1"
"2014-08-07 - 2017-06-22","USA_B_1 - GBR_B_1"
"2014-08-07 - 2017-06-22","CAN_B_1 - JPN_B_1"
"2014-08-07 - 2017-06-22","JPN_B_1 - MEX_B_1"
"2014-08-07 - 2017-06-22","AUS_B_1 - NOR_B_1"
"2014-08-07 - 2017-06-22","DEU_B_1 - NOR_B_1"
"2014-08-07 - 2017-06-22","DEU_B_1 - USA_B_1"
"2014-08-07 - 2017-06-22","CHE_B_2 - DEU_B_2"
"2014-08-07 - 2017-06-22","NOR_B_2 - JPN_B_2"
"2014-08-07 - 2017-06-22","FRA_B_2 - MEX_B_2"
"2014-08-07 - 2017-06-22","FRA_B_3 - CHE_B_3"
"2014-08-07 - 2017-06-22","CAN_B_3 - CHN_B_3"
"2014-08-07 - 2017-06-22","DEU_B_3 - CHN_B_3"
"2014-08-07 - 2017-06-22","USA_B_3 - CHN_B_3"
"2014-08-07 - 2017-06-22","FRA_B_3 - DEU_B_3"
"2014-08-07 - 2017-06-22","ITA_B_3 - FRA_B_3"
"2014-08-07 - 2017-06-22","FRA_B_3 - ITA_B_3"
"2014-08-07 - 2017-06-22","AUS_B_3 - MEX_B_3"
"2014-08-14 - 2017-06-29","FRA_B_1 - AUS_B_1"
"2014-08-14 - 2017-06-29","USA_B_1 - AUS_B_1"
"2014-08-14 - 2017-06-29","USA_B_1 - CHE_B_1"
"2014-08-14 - 2017-06-29","MEX_B_1 - CHN_B_1"
"2014-08-14 - 2017-06-29","AUS_B_1 - DEU_B_1"
"2014-08-14 - 2017-06-29","USA_B_1 - DEU_B_1"
"2014-08-14 - 2017-06-29","USA_B_1 - FRA_B_1"
"2014-08-14 - 2017-06-29","USA_B_1 - GBR_B_1"
"2014-08-14 - 2017-06-29","CAN_B_1 - JPN_B_1"
"2014-08-14 - 2017-06-29","JPN_B_1 - MEX_B_1"
"2014-08-14 - 2017-06-29","AUS_B_1 - NOR_B_1"
"2014-08-14 - 2017-06-29","DEU_B_1 - NOR_B_1"
"2014-08-14 - 2017-06-29","DEU_B_1 - USA_B_1"
"2014-08-14 - 2017-06-29","NOR_B_2 - JPN_B_2"
"2014-08-14 - 2017-06-29","FRA_B_2 - MEX_B_2"
"2014-08-14 - 2017-06-29","FRA_B_3 - CHE_B_3"
"2014-08-14 - 2017-06-29","CAN_B_3 - CHN_B_3"
"2014-08-14 - 2017-06-29","DEU_B_3 - CHN_B_3"
"2014-08-14 - 2017-06-29","USA_B_3 - CHN_B_3"
"2014-08-14 - 2017-06-29","FRA_B_3 - DEU_B_3"
"2014-08-14 - 2017-06-29","ITA_B_3 - DEU_B_3"
"2014-08-14 - 2017-06-29","ITA_B_3 - FRA_B_3"
"2014-08-14 - 2017-06-29","FRA_B_3 - ITA_B_3"
"2014-08-14 - 2017-06-29","AUS_B_3 - MEX_B_3"
"2014-08-21 - 2017-07-06","FRA_B_1 - AUS_B_1"
"2014-08-21 - 2017-07-06","USA_B_1 - AUS_B_1"
"2014-08-21 - 2017-07-06","USA_B_1 - CHE_B_1"
"2014-08-21 - 2017-07-06","MEX_B_1 - CHN_B_1"
"2014-08-21 - 2017-07-06","AUS_B_1 - DEU_B_1"
"2014-08-21 - 2017-07-06","USA_B_1 - DEU_B_1"
"2014-08-21 - 2017-07-06","USA_B_1 - FRA_B_1"
"2014-08-21 - 2017-07-06","USA_B_1 - GBR_B_1"
"2014-08-21 - 2017-07-06","CAN_B_1 - JPN_B_1"
"2014-08-21 - 2017-07-06","JPN_B_1 - MEX_B_1"
"2014-08-21 - 2017-07-06","AUS_B_1 - NOR_B_1"
"2014-08-21 - 2017-07-06","DEU_B_1 - NOR_B_1"
"2014-08-21 - 2017-07-06","DEU_B_1 - USA_B_1"
"2014-08-21 - 2017-07-06","NOR_B_2 - JPN_B_2"
"2014-08-21 - 2017-07-06","USA_B_2 - JPN_B_2"
"2014-08-21 - 2017-07-06","CHE_B_2 - MEX_B_2"
"2014-08-21 - 2017-07-06","FRA_B_3 - CHE_B_3"
"2014-08-21 - 2017-07-06","DEU_B_3 - CHN_B_3"
"2014-08-21 - 2017-07-06","FRA_B_3 - DEU_B_3"
"2014-08-21 - 2017-07-06","ITA_B_3 - DEU_B_3"
"2014-08-21 - 2017-07-06","ITA_B_3 - FRA_B_3"
"2014-08-21 - 2017-07-06","FRA_B_3 - ITA_B_3"
"2014-08-21 - 2017-07-06","AUS_B_3 - MEX_B_3"
"2014-08-21 - 2017-07-06","FRA_B_3 - MEX_B_3"
"2014-08-21 - 2017-07-06","USA_B_3 - MEX_B_3"
"2014-08-21 - 2017-07-06","CAN_B_3 - USA_B_3"
"2014-08-28 - 2017-07-13","FRA_B_1 - AUS_B_1"
"2014-08-28 - 2017-07-13","USA_B_1 - AUS_B_1"
"2014-08-28 - 2017-07-13","USA_B_1 - CHE_B_1"
"2014-08-28 - 2017-07-13","MEX_B_1 - CHN_B_1"
"2014-08-28 - 2017-07-13","USA_B_1 - DEU_B_1"
"2014-08-28 - 2017-07-13","USA_B_1 - FRA_B_1"
"2014-08-28 - 2017-07-13","USA_B_1 - GBR_B_1"
"2014-08-28 - 2017-07-13","CAN_B_1 - JPN_B_1"
"2014-08-28 - 2017-07-13","JPN_B_1 - MEX_B_1"
"2014-08-28 - 2017-07-13","AUS_B_1 - NOR_B_1"
"2014-08-28 - 2017-07-13","DEU_B_1 - NOR_B_1"
"2014-08-28 - 2017-07-13","DEU_B_1 - USA_B_1"
"2014-08-28 - 2017-07-13","CHE_B_2 - DEU_B_2"
"2014-08-28 - 2017-07-13","NOR_B_2 - JPN_B_2"
"2014-08-28 - 2017-07-13","USA_B_2 - JPN_B_2"
"2014-08-28 - 2017-07-13","CHE_B_2 - MEX_B_2"
"2014-08-28 - 2017-07-13","FRA_B_3 - CHE_B_3"
"2014-08-28 - 2017-07-13","CAN_B_3 - CHN_B_3"
"2014-08-28 - 2017-07-13","DEU_B_3 - CHN_B_3"
"2014-08-28 - 2017-07-13","ITA_B_3 - FRA_B_3"
"2014-08-28 - 2017-07-13","FRA_B_3 - ITA_B_3"
"2014-08-28 - 2017-07-13","AUS_B_3 - MEX_B_3"
"2014-08-28 - 2017-07-13","USA_B_3 - MEX_B_3"
"2014-09-04 - 2017-07-20","FRA_B_1 - AUS_B_1"
"2014-09-04 - 2017-07-20","USA_B_1 - AUS_B_1"
"2014-09-04 - 2017-07-20","USA_B_1 - CHE_B_1"
"2014-09-04 - 2017-07-20","MEX_B_1 - CHN_B_1"
"2014-09-04 - 2017-07-20","USA_B_1 - DEU_B_1"
"2014-09-04 - 2017-07-20","USA_B_1 - FRA_B_1"
"2014-09-04 - 2017-07-20","USA_B_1 - GBR_B_1"
"2014-09-04 - 2017-07-20","CAN_B_1 - JPN_B_1"
"2014-09-04 - 2017-07-20","JPN_B_1 - MEX_B_1"
"2014-09-04 - 2017-07-20","AUS_B_1 - NOR_B_1"
"2014-09-04 - 2017-07-20","DEU_B_1 - NOR_B_1"
"2014-09-04 - 2017-07-20","DEU_B_1 - USA_B_1"
"2014-09-04 - 2017-07-20","CHE_B_2 - DEU_B_2"
"2014-09-04 - 2017-07-20","NOR_B_2 - JPN_B_2"
"2014-09-04 - 2017-07-20","USA_B_2 - JPN_B_2"
"2014-09-04 - 2017-07-20","CHE_B_2 - MEX_B_2"
"2014-09-04 - 2017-07-20","FRA_B_3 - CHE_B_3"
"2014-09-04 - 2017-07-20","CAN_B_3 - CHN_B_3"
"2014-09-04 - 2017-07-20","DEU_B_3 - CHN_B_3"
"2014-09-04 - 2017-07-20","ITA_B_3 - FRA_B_3"
"2014-09-04 - 2017-07-20","FRA_B_3 - ITA_B_3"
"2014-09-04 - 2017-07-20","AUS_B_3 - MEX_B_3"
"2014-09-04 - 2017-07-20","USA_B_3 - MEX_B_3"
"2014-09-11 - 2017-07-27","FRA_B_1 - AUS_B_1"
"2014-09-11 - 2017-07-27","USA_B_1 - AUS_B_1"
"2014-09-11 - 2017-07-27","USA_B_1 - CHE_B_1"
"2014-09-11 - 2017-07-27","MEX_B_1 - CHN_B_1"
"2014-09-11 - 2017-07-27","USA_B_1 - FRA_B_1"
"2014-09-11 - 2017-07-27","USA_B_1 - GBR_B_1"
"2014-09-11 - 2017-07-27","JPN_B_1 - MEX_B_1"
"2014-09-11 - 2017-07-27","DEU_B_1 - NOR_B_1"
"2014-09-11 - 2017-07-27","DEU_B_1 - USA_B_1"
"2014-09-11 - 2017-07-27","CHE_B_2 - DEU_B_2"
"2014-09-11 - 2017-07-27","NOR_B_2 - JPN_B_2"
"2014-09-11 - 2017-07-27","CHE_B_2 - MEX_B_2"
"2014-09-11 - 2017-07-27","FRA_B_3 - CHE_B_3"
"2014-09-11 - 2017-07-27","CAN_B_3 - CHN_B_3"
"2014-09-11 - 2017-07-27","DEU_B_3 - CHN_B_3"
"2014-09-11 - 2017-07-27","ITA_B_3 - DEU_B_3"
"2014-09-11 - 2017-07-27","ITA_B_3 - FRA_B_3"
"2014-09-11 - 2017-07-27","FRA_B_3 - ITA_B_3"
"2014-09-11 - 2017-07-27","AUS_B_3 - MEX_B_3"
"2014-09-11 - 2017-07-27","USA_B_3 - MEX_B_3"
"2014-09-18 - 2017-08-03","CHN_B_1 - AUS_B_1"
"2014-09-18 - 2017-08-03","FRA_B_1 - AUS_B_1"
"2014-09-18 - 2017-08-03","USA_B_1 - CHE_B_1"
"2014-09-18 - 2017-08-03","MEX_B_1 - CHN_B_1"
"2014-09-18 - 2017-08-03","USA_B_1 - DEU_B_1"
"2014-09-18 - 2017-08-03","USA_B_1 - FRA_B_1"
"2014-09-18 - 2017-08-03","USA_B_1 - GBR_B_1"
"2014-09-18 - 2017-08-03","JPN_B_1 - MEX_B_1"
"2014-09-18 - 2017-08-03","DEU_B_1 - NOR_B_1"
"2014-09-18 - 2017-08-03","DEU_B_1 - USA_B_1"
"2014-09-18 - 2017-08-03","CHE_B_2 - DEU_B_2"
"2014-09-18 - 2017-08-03","NOR_B_2 - JPN_B_2"
"2014-09-18 - 2017-08-03","USA_B_2 - JPN_B_2"
"2014-09-18 - 2017-08-03","CHE_B_2 - MEX_B_2"
"2014-09-18 - 2017-08-03","FRA_B_3 - CHE_B_3"
"2014-09-18 - 2017-08-03","CAN_B_3 - CHN_B_3"
"2014-09-18 - 2017-08-03","DEU_B_3 - CHN_B_3"
"2014-09-18 - 2017-08-03","ITA_B_3 - DEU_B_3"
"2014-09-18 - 2017-08-03","ITA_B_3 - FRA_B_3"
"2014-09-18 - 2017-08-03","FRA_B_3 - ITA_B_3"
"2014-09-18 - 2017-08-03","AUS_B_3 - MEX_B_3"
"2014-09-18 - 2017-08-03","USA_B_3 - MEX_B_3"
"2014-09-25 - 2017-08-10","CHN_B_1 - AUS_B_1"
"2014-09-25 - 2017-08-10","FRA_B_1 - AUS_B_1"
"2014-09-25 - 2017-08-10","USA_B_1 - CHE_B_1"
"2014-09-25 - 2017-08-10","MEX_B_1 - CHN_B_1"
"2014-09-25 - 2017-08-10","USA_B_1 - DEU_B_1"
"2014-09-25 - 2017-08-10","USA_B_1 - FRA_B_1"
"2014-09-25 - 2017-08-10","USA_B_1 - GBR_B_1"
"2014-09-25 - 2017-08-10","JPN_B_1 - MEX_B_1"
"2014-09-25 - 2017-08-10","DEU_B_1 - NOR_B_1"
"2014-09-25 - 2017-08-10","DEU_B_1 - USA_B_1"
"2014-09-25 - 2017-08-10","CHE_B_2 - DEU_B_2"
"2014-09-25 - 2017-08-10","NOR_B_2 - JPN_B_2"
"2014-09-25 - 2017-08-10","USA_B_2 - JPN_B_2"
"2014-09-25 - 2017-08-10","CHE_B_2 - MEX_B_2"
"2014-09-25 - 2017-08-10","USA_B_3 - AUS_B_3"
"2014-09-25 - 2017-08-10","FRA_B_3 - CHE_B_3"
"2014-09-25 - 2017-08-10","CAN_B_3 - CHN_B_3"
"2014-09-25 - 2017-08-10","DEU_B_3 - CHN_B_3"
"2014-09-25 - 2017-08-10","ITA_B_3 - DEU_B_3"
"2014-09-25 - 2017-08-10","ITA_B_3 - FRA_B_3"
"2014-09-25 - 2017-08-10","FRA_B_3 - ITA_B_3"
"2014-09-25 - 2017-08-10","AUS_B_3 - MEX_B_3"
"2014-09-25 - 2017-08-10","USA_B_3 - MEX_B_3"
"2014-10-02 - 2017-08-17","CHN_B_1 - AUS_B_1"
"2014-10-02 - 2017-08-17","FRA_B_1 - AUS_B_1"
"2014-10-02 - 2017-08-17","USA_B_1 - AUS_B_1"
"2014-10-02 - 2017-08-17","USA_B_1 - CHE_B_1"
"2014-10-02 - 2017-08-17","ITA_B_1 - CHN_B_1"
"2014-10-02 - 2017-08-17","MEX_B_1 - CHN_B_1"
"2014-10-02 - 2017-08-17","USA_B_1 - DEU_B_1"
"2014-10-02 - 2017-08-17","USA_B_1 - FRA_B_1"
"2014-10-02 - 2017-08-17","JPN_B_1 - MEX_B_1"
"2014-10-02 - 2017-08-17","DEU_B_1 - USA_B_1"
"2014-10-02 - 2017-08-17","CHE_B_2 - DEU_B_2"
"2014-10-02 - 2017-08-17","NOR_B_2 - JPN_B_2"
"2014-10-02 - 2017-08-17","USA_B_2 - JPN_B_2"
"2014-10-02 - 2017-08-17","CHE_B_2 - MEX_B_2"
"2014-10-02 - 2017-08-17","FRA_B_3 - CHE_B_3"
"2014-10-02 - 2017-08-17","CAN_B_3 - CHN_B_3"
"2014-10-02 - 2017-08-17","ITA_B_3 - DEU_B_3"
"2014-10-02 - 2017-08-17","ITA_B_3 - FRA_B_3"
"2014-10-02 - 2017-08-17","FRA_B_3 - ITA_B_3"
"2014-10-02 - 2017-08-17","AUS_B_3 - MEX_B_3"
"2014-10-02 - 2017-08-17","USA_B_3 - MEX_B_3"
"2014-10-09 - 2017-08-24","FRA_B_1 - AUS_B_1"
"2014-10-09 - 2017-08-24","USA_B_1 - AUS_B_1"
"2014-10-09 - 2017-08-24","USA_B_1 - CHE_B_1"
"2014-10-09 - 2017-08-24","USA_B_1 - DEU_B_1"
"2014-10-09 - 2017-08-24","USA_B_1 - FRA_B_1"
"2014-10-09 - 2017-08-24","USA_B_1 - GBR_B_1"
"2014-10-09 - 2017-08-24","JPN_B_1 - MEX_B_1"
"2014-10-09 - 2017-08-24","DEU_B_1 - USA_B_1"
"2014-10-09 - 2017-08-24","ITA_B_2 - CHN_B_2"
"2014-10-09 - 2017-08-24","CHE_B_2 - DEU_B_2"
"2014-10-09 - 2017-08-24","NOR_B_2 - JPN_B_2"
"2014-10-09 - 2017-08-24","USA_B_2 - JPN_B_2"
"2014-10-09 - 2017-08-24","CHE_B_2 - MEX_B_2"
"2014-10-09 - 2017-08-24","FRA_B_3 - CHE_B_3"
"2014-10-09 - 2017-08-24","CAN_B_3 - CHN_B_3"
"2014-10-09 - 2017-08-24","FRA_B_3 - DEU_B_3"
"2014-10-09 - 2017-08-24","ITA_B_3 - DEU_B_3"
"2014-10-09 - 2017-08-24","DEU_B_3 - FRA_B_3"
"2014-10-09 - 2017-08-24","ITA_B_3 - FRA_B_3"
"2014-10-09 - 2017-08-24","FRA_B_3 - ITA_B_3"
"2014-10-09 - 2017-08-24","AUS_B_3 - MEX_B_3"
"2014-10-09 - 2017-08-24","USA_B_3 - MEX_B_3"
"2014-10-16 - 2017-08-31","FRA_B_1 - AUS_B_1"
"2014-10-16 - 2017-08-31","USA_B_1 - AUS_B_1"
"2014-10-16 - 2017-08-31","USA_B_1 - CHE_B_1"
"2014-10-16 - 2017-08-31","USA_B_1 - DEU_B_1"
"2014-10-16 - 2017-08-31","USA_B_1 - FRA_B_1"
"2014-10-16 - 2017-08-31","ITA_B_1 - GBR_B_1"
"2014-10-16 - 2017-08-31","USA_B_1 - GBR_B_1"
"2014-10-16 - 2017-08-31","JPN_B_1 - MEX_B_1"
"2014-10-16 - 2017-08-31","DEU_B_1 - USA_B_1"
"2014-10-16 - 2017-08-31","ITA_B_2 - CHN_B_2"
"2014-10-16 - 2017-08-31","CHE_B_2 - DEU_B_2"
"2014-10-16 - 2017-08-31","NOR_B_2 - JPN_B_2"
"2014-10-16 - 2017-08-31","USA_B_2 - JPN_B_2"
"2014-10-16 - 2017-08-31","CHE_B_2 - MEX_B_2"
"2014-10-16 - 2017-08-31","FRA_B_3 - CHE_B_3"
"2014-10-16 - 2017-08-31","CAN_B_3 - CHN_B_3"
"2014-10-16 - 2017-08-31","FRA_B_3 - DEU_B_3"
"2014-10-16 - 2017-08-31","ITA_B_3 - DEU_B_3"
"2014-10-16 - 2017-08-31","DEU_B_3 - FRA_B_3"
"2014-10-16 - 2017-08-31","ITA_B_3 - FRA_B_3"
"2014-10-16 - 2017-08-31","CHE_B_3 - ITA_B_3"
"2014-10-16 - 2017-08-31","FRA_B_3 - ITA_B_3"
"2014-10-16 - 2017-08-31","AUS_B_3 - MEX_B_3"
"2014-10-16 - 2017-08-31","CAN_B_3 - USA_B_3"
"2014-10-23 - 2017-09-07","FRA_B_1 - AUS_B_1"
"2014-10-23 - 2017-09-07","USA_B_1 - AUS_B_1"
"2014-10-23 - 2017-09-07","USA_B_1 - CHE_B_1"
"2014-10-23 - 2017-09-07","USA_B_1 - DEU_B_1"
"2014-10-23 - 2017-09-07","USA_B_1 - FRA_B_1"
"2014-10-23 - 2017-09-07","ITA_B_1 - GBR_B_1"
"2014-10-23 - 2017-09-07","USA_B_1 - GBR_B_1"
"2014-10-23 - 2017-09-07","JPN_B_1 - MEX_B_1"
"2014-10-23 - 2017-09-07","DEU_B_1 - USA_B_1"
"2014-10-23 - 2017-09-07","ITA_B_2 - CHN_B_2"
"2014-10-23 - 2017-09-07","CHE_B_2 - DEU_B_2"
"2014-10-23 - 2017-09-07","CHN_B_2 - FRA_B_2"
"2014-10-23 - 2017-09-07","NOR_B_2 - JPN_B_2"
"2014-10-23 - 2017-09-07","CHE_B_2 - MEX_B_2"
"2014-10-23 - 2017-09-07","FRA_B_3 - CHE_B_3"
"2014-10-23 - 2017-09-07","CAN_B_3 - CHN_B_3"
"2014-10-23 - 2017-09-07","FRA_B_3 - DEU_B_3"
"2014-10-23 - 2017-09-07","ITA_B_3 - DEU_B_3"
"2014-10-23 - 2017-09-07","DEU_B_3 - FRA_B_3"
"2014-10-23 - 2017-09-07","ITA_B_3 - FRA_B_3"
"2014-10-23 - 2017-09-07","CHE_B_3 - ITA_B_3"
"2014-10-23 - 2017-09-07","FRA_B_3 - ITA_B_3"
"2014-10-23 - 2017-09-07","AUS_B_3 - MEX_B_3"
"2014-10-30 - 2017-09-14","FRA_B_1 - AUS_B_1"
"2014-10-30 - 2017-09-14","USA_B_1 - CHE_B_1"
"2014-10-30 - 2017-09-14","USA_B_1 - DEU_B_1"
"2014-10-30 - 2017-09-14","USA_B_1 - FRA_B_1"
"2014-10-30 - 2017-09-14","ITA_B_1 - GBR_B_1"
"2014-10-30 - 2017-09-14","USA_B_1 - GBR_B_1"
"2014-10-30 - 2017-09-14","MEX_B_1 - JPN_B_1"
"2014-10-30 - 2017-09-14","JPN_B_1 - MEX_B_1"
"2014-10-30 - 2017-09-14","USA_B_1 - NOR_B_1"
"2014-10-30 - 2017-09-14","DEU_B_1 - USA_B_1"
"2014-10-30 - 2017-09-14","ITA_B_2 - CHN_B_2"
"2014-10-30 - 2017-09-14","CHE_B_2 - DEU_B_2"
"2014-10-30 - 2017-09-14","CHN_B_2 - FRA_B_2"
"2014-10-30 - 2017-09-14","NOR_B_2 - JPN_B_2"
"2014-10-30 - 2017-09-14","CHE_B_2 - MEX_B_2"
"2014-10-30 - 2017-09-14","FRA_B_2 - MEX_B_2"
"2014-10-30 - 2017-09-14","FRA_B_3 - CHE_B_3"
"2014-10-30 - 2017-09-14","CAN_B_3 - CHN_B_3"
"2014-10-30 - 2017-09-14","FRA_B_3 - DEU_B_3"
"2014-10-30 - 2017-09-14","ITA_B_3 - DEU_B_3"
"2014-10-30 - 2017-09-14","DEU_B_3 - FRA_B_3"
"2014-10-30 - 2017-09-14","ITA_B_3 - FRA_B_3"
"2014-10-30 - 2017-09-14","FRA_B_3 - ITA_B_3"
"2014-10-30 - 2017-09-14","AUS_B_3 - MEX_B_3"
"2014-11-06 - 2017-09-21","FRA_B_1 - AUS_B_1"
"2014-11-06 - 2017-09-21","USA_B_1 - CAN_B_1"
"2014-11-06 - 2017-09-21","USA_B_1 - CHE_B_1"
"2014-11-06 - 2017-09-21","USA_B_1 - DEU_B_1"
"2014-11-06 - 2017-09-21","USA_B_1 - FRA_B_1"
"2014-11-06 - 2017-09-21","ITA_B_1 - GBR_B_1"
"2014-11-06 - 2017-09-21","USA_B_1 - GBR_B_1"
"2014-11-06 - 2017-09-21","MEX_B_1 - JPN_B_1"
"2014-11-06 - 2017-09-21","JPN_B_1 - MEX_B_1"
"2014-11-06 - 2017-09-21","DEU_B_1 - USA_B_1"
"2014-11-06 - 2017-09-21","ITA_B_2 - CHN_B_2"
"2014-11-06 - 2017-09-21","CHN_B_2 - FRA_B_2"
"2014-11-06 - 2017-09-21","NOR_B_2 - JPN_B_2"
"2014-11-06 - 2017-09-21","CHE_B_2 - MEX_B_2"
"2014-11-06 - 2017-09-21","FRA_B_2 - MEX_B_2"
"2014-11-06 - 2017-09-21","FRA_B_3 - CHE_B_3"
"2014-11-06 - 2017-09-21","CAN_B_3 - CHN_B_3"
"2014-11-06 - 2017-09-21","CHE_B_3 - DEU_B_3"
"2014-11-06 - 2017-09-21","ITA_B_3 - DEU_B_3"
"2014-11-06 - 2017-09-21","DEU_B_3 - FRA_B_3"
"2014-11-06 - 2017-09-21","ITA_B_3 - FRA_B_3"
"2014-11-06 - 2017-09-21","FRA_B_3 - ITA_B_3"
"2014-11-13 - 2017-09-28","USA_B_1 - CAN_B_1"
"2014-11-13 - 2017-09-28","USA_B_1 - CHE_B_1"
"2014-11-13 - 2017-09-28","USA_B_1 - DEU_B_1"
"2014-11-13 - 2017-09-28","USA_B_1 - FRA_B_1"
"2014-11-13 - 2017-09-28","ITA_B_1 - GBR_B_1"
"2014-11-13 - 2017-09-28","USA_B_1 - GBR_B_1"
"2014-11-13 - 2017-09-28","MEX_B_1 - JPN_B_1"
"2014-11-13 - 2017-09-28","JPN_B_1 - MEX_B_1"
"2014-11-13 - 2017-09-28","DEU_B_1 - USA_B_1"
"2014-11-13 - 2017-09-28","ITA_B_2 - CHN_B_2"
"2014-11-13 - 2017-09-28","CHN_B_2 - FRA_B_2"
"2014-11-13 - 2017-09-28","NOR_B_2 - JPN_B_2"
"2014-11-13 - 2017-09-28","CHE_B_2 - MEX_B_2"
"2014-11-13 - 2017-09-28","FRA_B_2 - MEX_B_2"
"2014-11-13 - 2017-09-28","CAN_B_3 - CHN_B_3"
"2014-11-13 - 2017-09-28","ITA_B_3 - DEU_B_3"
"2014-11-13 - 2017-09-28","DEU_B_3 - FRA_B_3"
"2014-11-13 - 2017-09-28","ITA_B_3 - FRA_B_3"
"2014-11-13 - 2017-09-28","FRA_B_3 - ITA_B_3"
"2014-11-20 - 2017-10-05","USA_B_1 - CAN_B_1"
"2014-11-20 - 2017-10-05","USA_B_1 - CHE_B_1"
"2014-11-20 - 2017-10-05","USA_B_1 - DEU_B_1"
"2014-11-20 - 2017-10-05","USA_B_1 - FRA_B_1"
"2014-11-20 - 2017-10-05","ITA_B_1 - GBR_B_1"
"2014-11-20 - 2017-10-05","USA_B_1 - GBR_B_1"
"2014-11-20 - 2017-10-05","MEX_B_1 - JPN_B_1"
"2014-11-20 - 2017-10-05","JPN_B_1 - MEX_B_1"
"2014-11-20 - 2017-10-05","DEU_B_1 - USA_B_1"
"2014-11-20 - 2017-10-05","ITA_B_2 - CHN_B_2"
"2014-11-20 - 2017-10-05","CHN_B_2 - FRA_B_2"
"2014-11-20 - 2017-10-05","NOR_B_2 - JPN_B_2"
"2014-11-20 - 2017-10-05","CHE_B_2 - MEX_B_2"
"2014-11-20 - 2017-10-05","CAN_B_3 - CHN_B_3"
"2014-11-20 - 2017-10-05","CHE_B_3 - DEU_B_3"
"2014-11-20 - 2017-10-05","ITA_B_3 - DEU_B_3"
"2014-11-20 - 2017-10-05","DEU_B_3 - FRA_B_3"
"2014-11-20 - 2017-10-05","ITA_B_3 - FRA_B_3"
"2014-11-20 - 2017-10-05","AUS_B_3 - MEX_B_3"
"2014-11-27 - 2017-10-12","USA_B_1 - CAN_B_1"
"2014-11-27 - 2017-10-12","USA_B_1 - DEU_B_1"
"2014-11-27 - 2017-10-12","USA_B_1 - FRA_B_1"
"2014-11-27 - 2017-10-12","ITA_B_1 - GBR_B_1"
"2014-11-27 - 2017-10-12","USA_B_1 - GBR_B_1"
"2014-11-27 - 2017-10-12","JPN_B_1 - MEX_B_1"
"2014-11-27 - 2017-10-12","DEU_B_1 - USA_B_1"
"2014-11-27 - 2017-10-12","ITA_B_2 - CHN_B_2"
"2014-11-27 - 2017-10-12","CHN_B_2 - FRA_B_2"
"2014-11-27 - 2017-10-12","NOR_B_2 - JPN_B_2"
"2014-11-27 - 2017-10-12","USA_B_2 - JPN_B_2"
"2014-11-27 - 2017-10-12","CHE_B_2 - MEX_B_2"
"2014-11-27 - 2017-10-12","CHE_B_3 - DEU_B_3"
"2014-11-27 - 2017-10-12","ITA_B_3 - DEU_B_3"
"2014-11-27 - 2017-10-12","DEU_B_3 - FRA_B_3"
"2014-11-27 - 2017-10-12","ITA_B_3 - FRA_B_3"
"2014-11-27 - 2017-10-12","AUS_B_3 - MEX_B_3"
"2014-12-04 - 2017-10-19","USA_B_1 - CAN_B_1"
"2014-12-04 - 2017-10-19","NOR_B_1 - CHE_B_1"
"2014-12-04 - 2017-10-19","NOR_B_1 - DEU_B_1"
"2014-12-04 - 2017-10-19","USA_B_1 - DEU_B_1"
"2014-12-04 - 2017-10-19","USA_B_1 - FRA_B_1"
"2014-12-04 - 2017-10-19","ITA_B_1 - GBR_B_1"
"2014-12-04 - 2017-10-19","USA_B_1 - GBR_B_1"
"2014-12-04 - 2017-10-19","JPN_B_1 - MEX_B_1"
"2014-12-04 - 2017-10-19","USA_B_1 - NOR_B_1"
"2014-12-04 - 2017-10-19","DEU_B_1 - USA_B_1"
"2014-12-04 - 2017-10-19","CHN_B_2 - AUS_B_2"
"2014-12-04 - 2017-10-19","ITA_B_2 - CHN_B_2"
"2014-12-04 - 2017-10-19","USA_B_2 - JPN_B_2"
"2014-12-04 - 2017-10-19","CHE_B_2 - MEX_B_2"
"2014-12-04 - 2017-10-19","CHE_B_3 - DEU_B_3"
"2014-12-04 - 2017-10-19","FRA_B_3 - DEU_B_3"
"2014-12-04 - 2017-10-19","ITA_B_3 - DEU_B_3"
"2014-12-04 - 2017-10-19","DEU_B_3 - FRA_B_3"
"2014-12-04 - 2017-10-19","ITA_B_3 - FRA_B_3"
"2014-12-04 - 2017-10-19","AUS_B_3 - MEX_B_3"
"2014-12-11 - 2017-10-26","USA_B_1 - CAN_B_1"
"2014-12-11 - 2017-10-26","NOR_B_1 - CHE_B_1"
"2014-12-11 - 2017-10-26","NOR_B_1 - DEU_B_1"
